Player,bbref_id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nerlens Noel\noelne01,noelne01,C,26,NYK,64,41,24.171875,2.140625,3.484375,0.614349776,0,0.046875,0,2.140625,3.4375,0.622727273,0.78125,1.09375,0.714285714,2.21875,4.15625,6.375,0.71875,1.09375,2.203125,1.015625,2.75,5.0625
Jaylen Nowell\nowelja01,nowelja01,SG,21,MIN,42,0,18.07142857,3.380952381,7.976190476,0.423880597,1.19047619,3.571428571,0.333333333,2.19047619,4.404761905,0.497297297,1.071428571,1.30952381,0.818181818,0.452380952,1.80952381,2.261904762,1.476190476,0.523809524,0.285714286,0.666666667,1.714285714,9.023809524
Frank Ntilikina\ntilila01,ntilila01,PG,22,NYK,33,4,9.757575758,0.878787879,2.393939394,0.367088608,0.696969697,1.454545455,0.479166667,0.181818182,0.939393939,0.193548387,0.242424242,0.545454545,0.444444444,0.181818182,0.757575758,0.939393939,0.575757576,0.545454545,0.121212121,0.333333333,1.363636364,2.696969697
Kendrick Nunn\nunnke01,nunnke01,PG,25,MIA,56,44,29.46428571,5.696428571,11.75,0.484802432,2.178571429,5.714285714,0.38125,3.517857143,6.035714286,0.582840237,1,1.071428571,0.933333333,0.375,2.821428571,3.196428571,2.642857143,0.928571429,0.25,1.428571429,1.928571429,14.57142857
James Nunnally\nunnaja01,nunnaja01,SF,30,NOP,9,0,5.333333333,0.555555556,1.444444444,0.384615385,0.444444444,1.333333333,0.333333333,0.111111111,0.111111111,1,0.111111111,0.222222222,0.5,0.222222222,0.777777778,1,0.333333333,0,0,0.222222222,0.111111111,1.666666667
Jusuf Nurkić\nurkiju01,nurkiju01,C,26,POR,37,37,23.78378378,4.621621622,9,0.513513514,0.324324324,0.810810811,0.4,4.297297297,8.189189189,0.524752475,1.891891892,3.054054054,0.619469027,2.324324324,6.648648649,8.972972973,3.378378378,1.027027027,1.054054054,1.972972973,2.783783784,11.45945946
David Nwaba\nwabada01,nwabada01,SF,28,HOU,30,9,22.63333333,3.533333333,7.266666667,0.486238532,0.566666667,2.1,0.26984127,2.966666667,5.166666667,0.574193548,1.566666667,2.266666667,0.691176471,1.333333333,2.6,3.933333333,1.033333333,1,0.7,0.566666667,2,9.2
Jordan Nwora\nworajo01,nworajo01,SF,22,MIL,30,2,9.133333333,2.066666667,4.5,0.459259259,0.933333333,2.066666667,0.451612903,1.133333333,2.433333333,0.465753425,0.633333333,0.833333333,0.76,0.3,1.7,2,0.233333333,0.533333333,0.233333333,0.8,0.733333333,5.7
Royce O'Neale\onealro01,onealro01,SF,27,UTA,71,71,31.56338028,2.464788732,5.549295775,0.444162437,1.507042254,3.915492958,0.384892086,0.957746479,1.633802817,0.586206897,0.549295775,0.647887324,0.847826087,1.23943662,5.591549296,6.830985915,2.549295775,0.802816901,0.450704225,1.169014085,2.563380282,6.985915493
Semi Ojeleye\ojelese01,ojelese01,PF,26,BOS,56,15,16.96428571,1.589285714,3.946428571,0.402714932,1.035714286,2.821428571,0.367088608,0.553571429,1.125,0.492063492,0.428571429,0.571428571,0.75,0.553571429,2.071428571,2.625,0.660714286,0.303571429,0,0.375,1,4.642857143
Jahlil Okafor\okafoja01,okafoja01,C,25,DET,27,2,12.85185185,2.333333333,3.777777778,0.617647059,0.074074074,0.333333333,0.222222222,2.259259259,3.444444444,0.655913978,0.62962963,0.888888889,0.708333333,0.851851852,1.592592593,2.444444444,0.481481481,0.222222222,0.185185185,0.777777778,1.444444444,5.37037037
Chuma Okeke\okekech01,okekech01,PF,22,ORL,45,19,25.17777778,3,7.2,0.416666667,1.088888889,3.133333333,0.34751773,1.911111111,4.066666667,0.469945355,0.666666667,0.888888889,0.75,0.933333333,3.088888889,4.022222222,2.244444444,1.066666667,0.488888889,0.844444444,1.066666667,7.755555556
Josh Okogie\okogijo01,okogijo01,SG,22,MIN,59,37,20.28813559,1.728813559,4.305084746,0.401574803,0.491525424,1.830508475,0.268518519,1.237288136,2.474576271,0.5,1.406779661,1.830508475,0.768518519,1.06779661,1.576271186,2.644067797,1.06779661,0.915254237,0.474576271,0.728813559,2.084745763,5.355932203
Onyeka Okongwu\okongon01,okongon01,C,20,ATL,50,4,12.02,1.92,2.98,0.644295302,0,0.06,0,1.92,2.92,0.657534247,0.72,1.14,0.631578947,1.24,2.02,3.26,0.36,0.46,0.66,0.58,2,4.56
Isaac Okoro\okorois01,okorois01,SG,20,CLE,67,67,32.43283582,3.507462687,8.343283582,0.42039356,0.925373134,3.194029851,0.289719626,2.582089552,5.149253731,0.501449275,1.701492537,2.343283582,0.72611465,1.014925373,2.059701493,3.074626866,1.910447761,0.925373134,0.358208955,1.28358209,2.76119403,9.641791045
KZ Okpala\okpalkz01,okpalkz01,PF,21,MIA,37,9,12.08108108,0.972972973,2.594594595,0.375,0.324324324,1.351351351,0.24,0.648648649,1.243243243,0.52173913,0.216216216,0.405405405,0.533333333,0.567567568,1.27027027,1.837837838,0.513513514,0.27027027,0.297297297,0.405405405,1.594594595,2.486486486
Victor Oladipo\oladivi01,oladivi01,SG,28,TOT,66,66,32.72727273,7.121212121,17.45454545,0.407986111,2.363636364,7.242424242,0.326359833,4.757575758,10.21212121,0.465875371,3.151515152,4.181818182,0.753623188,0.363636364,4.484848485,4.848484848,4.575757576,1.393939394,0.424242424,2.515151515,2.454545455,19.75757576
Cameron Oliver\oliveca01,oliveca01,SF,24,HOU,4,0,21.75,4.75,8.25,0.575757576,1,3.25,0.307692308,3.75,5,0.75,0.25,1,0.25,1.25,4,5.25,1.25,0.5,1,0.75,2.75,10.75
Kelly Olynyk\olynyke01,olynyke01,C-PF,29,TOT,140,124,28.52857143,4.814285714,9.957142857,0.483500717,1.8,5.257142857,0.342391304,3.014285714,4.7,0.641337386,2.071428571,2.5,0.828571429,1.242857143,5.742857143,6.985714286,2.9,1.128571429,0.6,1.8,2.957142857,13.5
